effect	effetto
Appearance options	Colori applicazione	Nella UI è questo il nome della sezione  delle opzioni
office suites	suite per ufficio
Regardless	Indipendentemente
input settings	impostazioni di immissione
data entry	inserimento dati
reference range	intervallo di riferimento
span	abbraccia
span	abbracciare
corner	angolo
hover	portare il cursore su
Select	Selezionate
Sheet tab	divisorio dei fogli
error message	messaggio d'errore
spreadsheet	foglio di calcolo
relevant	attinente
relevant	attinenti
match	corrispondere
override	prevalere
highlighting changes	evidenziare revisioni
drop-down list	menu a tendina
meaningful	significativo
named range	Intervallo con nome
named range	intervallo con nome
Listing	Listato
provide	fornire
Property	Proprietà
Boolean	Valore booleano
property	proprietà
COUNTIF	CONTA.SE
SUMIF	SOMMA.SE
flip	rispecchia
returns	ritorna
Group	Raggruppa
multi-range	intervallo multiplo
search criteria	criterio di ricerca
